"","Date","Return"
"1",1012,-0.0119075531736728
"2",1011,-0.00423587485824822
"3",1010,-0.00208024763267819
"4",1009,0.00213472090191946
"5",1008,0.00210579092504393
"6",1007,0.00532611982929531
"7",1006,0.0102179374024034
"8",1005,0.0033720494567254
"9",1004,-0.0015813368247437
"10",1003,-0.000187004862126323
"11",1002,-0.00152770233568713
"12",1001,0.00518700518700512
"13",1000,0.00822294856356446
"14",999,0.000860881542699725
"15",998,0.00232979549572871
"16",997,-0.00241026082465353
"17",996,0.00662010640694588
"18",995,0.00435138286947592
"19",994,-0.00386642624315143
"20",993,0.022171023482499
"21",992,0.0206573449342474
"22",991,-0.00408935326968111
"23",990,-0.0207631379328594
"24",989,-0.00529926827984345
"25",988,0.0073889448657438
"26",987,0.0135810653431996
"27",986,-0.0175151387128573
"28",985,-0.00907061121964834
"29",984,-0.00622323920467343
"30",983,0.0133682324421177
"31",982,0.00188317288231062
"32",981,-0.0237956154216205
"33",980,0.00405389087270783
"34",979,-0.00314692529921588
"35",978,-0.000292251886743767
"36",977,-0.00992306644880177
"37",976,0.00430769230769228
"38",975,-0.00432310991592056
"39",974,0.00214914375383766
"40",973,0.0197947469125066
"41",972,-0.00145899190606865
"42",971,0.0110279914304779
"43",970,0.00341838173104041
"44",969,-0.000475527924056397
"45",968,0.0056500177116542
"46",967,-0.0107406304206893
"47",966,-0.00777121001390817
"48",965,0.00184623959313066
"49",964,-0.00286562809357578
"50",963,0.00506205379741312
"51",962,0.00438296604077912
"52",961,-0.00672181105790167
"53",960,0.00685555984149812
"54",959,-0.00415560832518511
"55",958,-0.00351463270348328
"56",957,0.0151547265790588
"57",956,-0.00190395599746126
"58",955,0.00261595022624421
"59",954,-0.000794758128609526
"60",953,-0.00339705002288156
"61",952,0.00809113169381444
"62",951,0.0143628509719223
"63",950,-0.0065976505927157
"64",949,0.00798399596294548
"65",948,-0.00371680462535683
"66",947,-0.0016312921267746
"67",946,0.000897118455520867
"68",945,-0.00448334375279099
"69",944,0.0092661030087793
"70",943,-0.000864568886327072
"71",942,-0.00435780639144941
"72",941,-0.004694332887104
"73",940,0.0170645366252156
"74",939,-0.00570386816122459
"75",938,-0.00278997768017856
"76",937,-0.00211948126594088
"77",936,0.000341388913844153
"78",935,0.0116148029664097
"79",934,0.00134687488624377
"80",933,0.0118791093430576
"81",932,0.00404970598025068
"82",931,-0.0057729077805559
"83",930,0.00204491442677907
"84",929,0.0106311673803762
"85",928,0.000857185450208774
"86",927,0.0270228890760162
"87",926,0.00453706551830196
"88",925,0.00888319950347185
"89",924,0.00908130113124839
"90",923,-0.00903801396431349
"91",922,-0.01505310613586
"92",921,0.00760302581179143
"93",920,-0.00307025118492507
"94",919,-0.0172735672933677
"95",918,-0.00889636482571729
"96",917,0.0141013248422129
"97",916,0.000132691359897018
"98",915,0.00176601279884531
"99",914,0.00398459543964016
"100",913,-0.0244029462093594
"101",912,-0.00630255983735336
"102",911,0.0146463131047934
"103",910,-0.00622460770062256
"104",909,-0.0037874568341316
"105",908,-0.00190864449180027
"106",907,-0.00011117081395571
"107",906,0.0264549258273108
"108",905,-0.0105382009785472
"109",904,-0.00107148899374021
"110",903,-0.008572972771493
"111",902,0.00272841098091971
"112",901,0.00724692241087227
"113",900,-0.000225827091723403
"114",899,0.019023510911671
"115",898,0.0146123163731881
"116",897,-0.00170930209972227
"117",896,-0.00205470158367083
"118",895,-0.0100550726306297
"119",894,-0.00803274007804317
"120",893,-0.00332005312084993
"121",892,0.0201277336946003
"122",891,0.00664341795086605
"123",890,0.00536676133581425
"124",889,0.0180864640663635
"125",888,0.0100302114803626
"126",887,0.0293355447289313
"127",886,-0.00301771356524263
"128",885,0.00672104540347084
"129",884,-0.0225955378388821
"130",883,0.000549428187700911
"131",882,-0.0310546759469212
"132",881,0.00499355989299511
"133",880,-0.0105289988627897
"134",879,-0.0151202085546008
"135",878,-0.0130550790928149
"136",877,-0.00983185824007857
