	20 	5.7 
 	19.7 	6.3 
 	21 	7.7 
 	20.5 	7.8 
 	19.5 	6.3 
 	20.5 	7.6 
 	20.5 	6.9 
	11 	4 	
 	20.5 	7.3 
 	20 	8.8 
 	20.5 	8.6 
 	22.5 	8.8 
 	20.5 	7.8 
 	19.8 	6.4 
 	22 	7.2 
 	22 	11 	
 	19.5 	8.6 
 	20 	6.4 
 	21.5 	8.2 
	19.5 	6.4 
 	21.5 	8.4 
 	20 	7.3 
	20.5 	8.3 
 	21 	7.8 
 	18.5 	5.8 
 	20.5 	8.6 
 	22 	7.7 
 	20.5 	7.4 
 	20.5 	7.3 
 	21 	7.8 
 	21.5 	8.3 
 	21 	7.7 
 	20.5 	6 	
 	20 	7.1 
 	22 	10 	
 	22 	9.8 
 	20 	6.6 
 	21 	8 	
 	21.3 	8.6 
 	22 	8.6 
 	21 	6.9 
 	21 	7.6 
 	20 	8.5 
	19 	5.6 
 	21 	7 	
 	19.5 	5.7 
 	19.5 	7.6 
 	21 	6.9 
 	21 	9.9 
 	17 	4.8 
	20 	8 	
 	20.5 	6.9 
 	20.5 	8.6 
 	20.5 	6.3 
 	21 	7.6 
 	20 	6.8 
 	19.5 	5.8 
 	22.5 	8.2 
 	21.5 	6.8 
 	20.5 	7 	
 	19 	6.5 
 	21.5 	6.9 
	20.5 	6.7 
	21 	7.1 
	21 	8.3 
	20 	7.3 
 	20.5 	7.4 
	21 	8.1 
	20.5 	8.2 
	21 	7.9 
	21.5 	7.8 
	21 	7.6 
	21 	7.7 
	20 	7.9 
	20.5 	7.9 
	20 	7.6 
	19.5 	6.6 
	21.5 	8.9 
	22 	8.3 
 	21 	8.1 
	22 	9.3 
 	20 	7.1 
 	20.5 	7.5 
 	21 	8.4 
 	20.5 	7.4 
 	22 	7.8 
 	20.5 	7.4 
 	21 	8.4 
 	20.5 	8.5 
 	20 	6.9 
	20 	7.3 
 	20.8 	6.9 
 	19 	6.1 
 	19.5 	5.5 
 	21 	8.3 
 	20 	7.1 
 	21 	8.2 
 	20.8 	7.6 
 	20 	7.4 
 	20.5 	7.9 
 	19.5 	6.8 
